,ms,temperature,humidity,altitude,oxygen,uv_idx,eulerx,eulery,eulerz,accelx,accely,accelz
0,5543,13.920000076293945,55.7294921875,184.60775756835938,20.04557228088379,4.0,0.0625,-1.25,93.0,-0.14000000059604645,1.3450000286102295,-0.29249998927116394
1,6543,13.949999809265137,55.75390625,184.2378387451172,20.038129806518555,4.0,359.4375,-1.9375,92.875,-0.07000000029802322,1.215000033378601,0.16749998927116394
2,7543,13.970000267028809,55.85546875,184.47299194335938,20.033662796020508,5.0,359.5,-2.0,92.3125,-0.07000000029802322,1.334999918937683,0.08750000596046448
3,8543,14.0,56.01171875,184.25633239746094,20.119735717773438,5.0,359.5,-2.0625,92.125,0.6700000166893005,0.9750000238418579,0.47749999165534973
4,9543,14.029999732971191,56.14453125,184.26161193847656,20.100248336791992,4.0,359.25,-2.3125,92.25,-0.10999999940395355,1.1649999618530273,0.637499988079071
5,10543,14.050000190734863,56.2451171875,184.26425170898438,20.074262619018555,5.0,359.25,-2.3125,92.25,0.2199999988079071,1.034999966621399,0.41749998927116394
6,11543,14.069999694824219,56.345703125,184.54434204101562,20.093751907348633,4.0,359.0,-2.5625,92.6875,-0.17000000178813934,1.225000023841858,0.3774999976158142
7,12544,14.09000015258789,56.48046875,184.4862060546875,20.113239288330078,9.0,0.4375,-1.0,93.5625,-0.10000000149011612,1.3949999809265137,-0.04249998927116394
8,13544,14.100000381469727,56.611328125,184.37258911132812,20.119735717773438,9.0,0.5625,-0.875,93.625,0.019999999552965164,1.1050000190734863,0.4074999988079071
9,14544,14.109999656677246,56.61328125,184.34088134765625,20.126232147216797,9.0,0.5625,-0.875,93.625,0.029999999329447746,1.1150000095367432,0.3474999964237213
10,15544,14.119999885559082,56.580078125,184.45977783203125,20.126230239868164,9.0,0.5625,-0.875,93.625,0.03999999910593033,1.1050000190734863,0.3675000071525574
11,16544,14.109999656677246,56.55859375,184.54168701171875,20.132726669311523,9.0,0.5625,-0.875,93.625,0.029999999329447746,1.1349999904632568,0.3774999976158142
12,17544,14.119999885559082,56.5263671875,184.66323852539062,20.139225006103516,9.0,0.5625,-0.875,93.625,0.029999999329447746,1.1150000095367432,0.35749998688697815
13,18544,14.119999885559082,56.50390625,184.4967803955078,20.145719528198242,9.0,0.5625,-0.875,93.625,0.019999999552965164,1.1050000190734863,0.3675000071525574
14,19544,14.119999885559082,56.4833984375,184.1981964111328,20.145719528198242,9.0,0.5625,-0.875,93.625,0.029999999329447746,1.125,0.3474999964237213
15,20544,14.119999885559082,56.4619140625,184.49942016601562,20.145719528198242,8.0,0.5625,-0.875,93.625,0.05000000074505806,1.125,0.3474999964237213
16,21544,14.130000114440918,56.44140625,184.30653381347656,20.145719528198242,9.0,0.5625,-0.875,93.625,0.03999999910593033,1.1150000095367432,0.3675000071525574
17,22544,14.130000114440918,56.3974609375,184.4967803955078,20.152217864990234,9.0,0.5625,-0.875,93.625,0.03999999910593033,1.125,0.35749998688697815
18,23544,14.140000343322754,56.35546875,184.29067993164062,20.16520881652832,8.0,0.5625,-0.875,93.625,0.05000000074505806,1.0950000286102295,0.3774999976158142
19,24544,14.140000343322754,56.3232421875,184.30389404296875,20.171703338623047,8.0,0.5625,-0.875,93.625,0.03999999910593033,1.125,0.3474999964237213
20,25544,14.130000114440918,56.279296875,184.28274536132812,20.178199768066406,9.0,0.5625,-0.875,93.625,0.03999999910593033,1.1150000095367432,0.38749998807907104
21,26544,14.140000343322754,56.2470703125,184.46507263183594,20.184696197509766,8.0,0.5625,-0.875,93.625,0.03999999910593033,1.1150000095367432,0.3474999964237213
22,27544,14.140000343322754,56.2138671875,184.3673095703125,20.184696197509766,9.0,0.5625,-0.875,93.625,0.03999999910593033,1.1050000190734863,0.3774999976158142
23,28544,14.140000343322754,56.1923828125,184.3488006591797,20.178199768066406,9.0,0.5625,-0.875,93.625,0.03999999910593033,1.1150000095367432,0.35749998688697815
24,29544,14.140000343322754,56.16015625,184.3673095703125,20.184696197509766,9.0,0.5625,-0.875,93.625,0.029999999329447746,1.0950000286102295,0.3774999976158142
25,30544,14.140000343322754,56.126953125,184.4439239501953,20.191190719604492,9.0,0.5625,-0.875,93.625,0.03999999910593033,1.1150000095367432,0.35749998688697815
26,31544,14.140000343322754,56.0947265625,184.51263427734375,20.191190719604492,9.0,0.5625,-0.875,93.625,0.029999999329447746,1.0950000286102295,0.3774999976158142
27,32544,14.130000114440918,56.060546875,184.48092651367188,20.191190719604492,8.0,0.5625,-0.875,93.625,0.05000000074505806,1.1349999904632568,0.3474999964237213
28,33544,14.130000114440918,56.0390625,184.54434204101562,20.191190719604492,4.0,0.875,-0.5625,93.6875,0.4399999976158142,1.0850000381469727,0.03749999403953552
29,34544,14.130000114440918,56.0390625,184.2880401611328,20.184696197509766,4.0,0.8125,-0.625,93.375,1.090000033378601,0.875,1.40749990940094
30,35544,14.149999618530273,56.0185546875,184.51791381835938,20.178199768066406,4.0,1.5625,-0.375,93.5,0.3400000035762787,0.8350000381469727,0.7574999928474426
31,36544,14.15999984741211,55.98828125,184.70286560058594,20.184696197509766,4.0,1.5,-0.3125,93.8125,0.019999999552965164,1.1549999713897705,0.32749998569488525
32,37544,14.180000305175781,56.0341796875,184.46243286132812,20.19768714904785,4.0,1.625,-0.0625,93.875,-0.25,1.6449999809265137,-0.6024999618530273
33,38544,14.180000305175781,56.1103515625,184.4439239501953,20.25615119934082,4.0,1.9375,0.25,93.375,1.9299999475479126,1.1050000190734863,0.8075000047683716
34,39544,14.180000305175781,56.142578125,184.53904724121094,20.31461524963379,4.0,1.9375,0.1875,93.1875,0.4699999988079071,0.9850000143051147,0.3675000071525574
35,40544,14.180000305175781,56.1865234375,184.46243286132812,20.31461524963379,4.0,1.5625,-0.1875,93.375,-0.23999999463558197,1.5549999475479126,-1.1924999952316284
36,41544,14.180000305175781,56.197265625,184.44921875,20.327608108520508,4.0,0.0,-2.3125,92.6875,0.07999999821186066,1.1549999713897705,-0.08250001072883606
37,42544,14.180000305175781,56.1865234375,184.3937225341797,20.32111167907715,4.0,1.1875,-1.125,92.0,-0.009999999776482582,1.065000057220459,0.8774999380111694
38,43544,14.170000076293945,56.1650390625,184.3567352294922,20.26914405822754,4.0,0.5625,-1.75,92.3125,0.05000000074505806,1.1449999809265137,0.3075000047683716
39,44544,14.170000076293945,56.1533203125,184.30125427246094,20.21068000793457,4.0,0.5,-1.5625,92.875,0.09000000357627869,0.9049999713897705,0.26749998331069946
40,45544,14.170000076293945,56.1533203125,184.2880401611328,20.20418357849121,4.0,0.5,-1.5,93.0,2.9700000286102295,0.6050000190734863,0.7274999618530273
41,46544,14.180000305175781,56.142578125,184.3937225341797,20.171703338623047,4.0,0.875,-0.875,93.3125,0.1899999976158142,1.1349999904632568,0.45749998092651367
42,47544,14.170000076293945,56.1318359375,184.33030700683594,20.1522159576416,4.0,0.9375,-1.25,92.8125,-0.009999999776482582,1.2949999570846558,0.47749999165534973
