ms,temperature,humidity,pressure,oxygen,uv_idx,eulerx,eulery,eulerz,accelx,accely,accelz
1161,23.59000015258789,55.3876953125,100916.0,20.699909210205078,0,360.0,-4.0,-5.9375,-0.6600000262260437,0.949999988079071,9.359999656677246
2160,23.600000381469727,55.35546875,100917.46875,20.683670043945312,0,359.9375,-4.0,-5.875,-0.6600000262260437,0.9700000286102295,9.34000015258789
3163,23.600000381469727,55.3232421875,100913.8671875,20.689083099365234,0,359.9375,-4.0,-5.875,-0.6700000166893005,0.9599999785423279,9.380000114440918
4162,23.600000381469727,55.3125,100915.59375,20.691789627075195,0,359.9375,-4.0,-5.875,-0.6600000262260437,0.9200000166893005,9.390000343322754
5165,23.610000610351562,55.30078125,100915.6640625,20.69341468811035,0,359.9375,-4.0,-5.875,-0.6800000071525574,0.949999988079071,9.380000114440918
6164,23.610000610351562,55.3125,100915.234375,20.69341468811035,0,359.9375,-4.0,-5.875,-0.6800000071525574,0.9399999976158142,9.359999656677246
7164,23.600000381469727,55.30078125,100913.9375,20.706405639648438,0,359.9375,-4.0,-5.875,-0.6800000071525574,0.9300000071525574,9.390000343322754
8166,23.600000381469727,55.27734375,100914.796875,20.706405639648438,0,359.9375,-4.0,-5.875,-0.6700000166893005,0.9599999785423279,9.359999656677246
9168,23.610000610351562,55.2451171875,100916.6640625,20.706405639648438,0,359.9375,-4.0,-5.875,-0.6700000166893005,0.9700000286102295,9.350000381469727
10168,23.600000381469727,55.244140625,100916.734375,20.699909210205078,0,359.9375,-4.0,-5.875,-0.6700000166893005,0.9599999785423279,9.359999656677246
11170,23.600000381469727,55.2333984375,100917.8984375,20.699909210205078,0,359.9375,-4.0,-5.875,-0.6800000071525574,0.949999988079071,9.359999656677246